# source_sha256: 4a217d6c4251ac2dd31262ca7cde72fe9598feb06ed351c2bf039354fcf29a70
# Source-reviewed inventory, in logical reading order. Columns: id | kind | owner path | first page | source anchor
# Paths follow printed numbering. @ roles are front matter, not invented paper headings.
title | title | @metadata | 1 | Enhancing Transformer-Based Hidden Suicidal Intention Detection
model-5 | list_item | IV | 4 | Approach 5
model-6 | list_item | IV | 4 | Approach 6
model-7 | list_item | IV | 4 | Approach 7
figure-2 | figure | IV | 4 | @caption:Fig. 2.
caption-2 | caption | IV | 4 | Fig. 2.
heading-iv-a | section_header | IV/A | 4 | A. Mathematical Formalisms
math-intro | text | IV/A | 4 | This section explains the data processing
math-input | text | IV/A | 4 | The input token sequence
math-representation | text | IV/A | 4 | Text Representation
equation-1 | formula | IV/A | 4 | @equation:1
math-where-1 | text | IV/A | 4 | Where, the input sequence
math-hidden | text | IV/A | 4 | The final output hidden state vectors
math-sequential | text | IV/A | 4 | Sequential Pattern Analysis
equation-2 | formula | IV/A | 4 | @equation:2
equation-3 | formula | IV/A | 4 | @equation:3
math-concatenation | text | IV/A | 4 | The output at time step
equation-4 | formula | IV/A | 4 | @equation:4
math-dimension | text | IV/A | 4 | The LSTM layer hidden size
math-fusion | text | IV/A | 4 | Feature Fusion
equation-5 | formula | IV/A | 4 | @equation:5
math-classification | text | IV/A | 4 | Final Classification
equation-6 | formula | IV/A | 4 | @equation:6
math-where-2 | text | IV/A | 4 | Where, the final linear layer
math-sigmoid | text | IV/A | 5 | The Sigmoid function takes
equation-7 | formula | IV/A | 5 | @equation:7
math-loss | text | IV/A | 5 | The model's weights are learned
heading-v | section_header | V | 5 | V. EXPERIMENTS AND RESULTS
experiments-intro | text | V | 5 | Each of the seven models
figure-3 | figure | V | 5 | @caption:Fig. 3.
caption-3 | caption | V | 5 | Fig. 3.
heading-v-a | section_header | V/A | 5 | A. Evaluation Metrices
evaluation-lead | text | V/A | 5 | Our assessment of the models
evaluation-1 | list_item | V/A | 5 | Performance Metrics
evaluation-2 | list_item | V/A | 5 | Computational Metrics
heading-v-b | section_header | V/B | 5 | B. Results
results-1 | text | V/B | 5 | The total performance together
results-2 | text | V/B | 5 | The baseline BERT-Only model
results-3 | text | V/B | 5 | The model obtained an F1-Score
table-caption-1 | caption | V/B | 5 | TABLE I.
table-1 | table | V/B | 5 | @caption:TABLE I.
heading-v-c | section_header | V/C | 5 | C. Visual Analysis
visual-input | text | V/C | 5 | Text : It's like I'm walking
figure-4 | figure | V/C | 5 | @caption:Fig. 4.
caption-4 | caption | V/C | 5 | Fig. 4.
visual-1 | text | V/C | 5 | The model demonstrates its confidence
visual-2 | text | V/C | 5 | The gap demonstrates improved detection
visual-3 | text | V/C | 5 | The F1 score in Table 1
heading-vi | section_header | VI | 5 | VI. LIMITATIONS
limitations | text | VI | 5 | The findings are based on an internal
heading-vii | section_header | VII | 6 | VII. CONCLUSION
conclusion | text | VII | 6 | The study investigated seven transformer-based
heading-viii | section_header | VIII | 6 | VIII. ACKNOWLEDGEMENT
acknowledgement | text | VIII | 6 | We thank Data Science
heading-references | section_header | REFERENCES | 6 | REFERENCES
reference-1 | list_item | REFERENCES | 6 | @marker:[1]
reference-2 | list_item | REFERENCES | 6 | @marker:[2]
reference-3 | list_item | REFERENCES | 6 | @marker:[3]
reference-4 | list_item | REFERENCES | 6 | @marker:[4]
reference-5 | list_item | REFERENCES | 6 | @marker:[5]
reference-6 | list_item | REFERENCES | 6 | @marker:[6]
reference-7 | list_item | REFERENCES | 6 | @marker:[7]
reference-8 | list_item | REFERENCES | 6 | @marker:[8]
reference-9 | list_item | REFERENCES | 6 | @marker:[9]
reference-10 | list_item | REFERENCES | 6 | @marker:[10]
reference-11 | list_item | REFERENCES | 6 | @marker:[11]
reference-12 | list_item | REFERENCES | 6 | @marker:[12]
reference-13 | list_item | REFERENCES | 6 | @marker:[13]
reference-14 | list_item | REFERENCES | 6 | @marker:[14]
reference-15 | list_item | REFERENCES | 6 | @marker:[15]
reference-16 | list_item | REFERENCES | 6 | @marker:[16]
reference-17 | list_item | REFERENCES | 6 | @marker:[17]
reference-18 | list_item | REFERENCES | 6 | @marker:[18]
reference-19 | list_item | REFERENCES | 6 | @marker:[19]
reference-20 | list_item | REFERENCES | 6 | @marker:[20]
reference-21 | list_item | REFERENCES | 6 | @marker:[21]
reference-22 | list_item | REFERENCES | 6 | @marker:[22]
